month,temp,max_temp,ext_max_temp,min_temp,ext_min_temp
2012-02,-2,3,12.1,-6,-17.1
2012-03,5.1,9.5,16.2,1.5,-5.7
2012-04,12.3,17.9,29.4,7.8,0.6
2012-05,19.7,25.1,29.3,15.4,12
2012-06,24.1,29.7,33.5,20,16.3
2012-07,25.4,29,33.2,22.4,18.5
2012-08,27.1,30.9,36.7,23.9,18.7
2012-09,21,25,29.5,17.4,12
2012-10,15.3,20.5,26,11,2.8
2012-11,5.5,9.5,15.7,1.8,-3
2012-12,-4.1,-0.5,8.3,-7.4,-14.5
2013-01,-3.4,0.3,11.5,-6.6,-16.4
2013-02,-1.2,2.8,13.9,-4.9,-15.8
2013-03,5.1,10.8,23.8,0.7,-4.4
2013-04,10,15,21.6,5.7,1.3
2013-05,18.2,23.6,31.8,13.7,7.9
2013-06,24.4,29.2,32.6,20.5,16.3
2013-07,25.5,28.3,31.3,23.4,20.5
2013-08,27.7,31.1,33.9,24.8,21.1
2013-09,21.8,25.9,31.1,18,10.9
2013-10,15.8,21.2,28.1,10.9,4.3
2013-11,6.2,10.7,20.7,2.1,-6.4
2013-12,-0.2,3.5,11,-3.5,-9.8
2014-01,-0.7,3.5,8.2,-4.9,-10.5
2014-02,1.9,6.6,16.4,-1.8,-10.5
2014-03,7.9,13.1,23.8,3.5,-4.6
2014-04,14,19.6,26.2,9.4,2.3
2014-05,18.9,25.3,33.3,13.8,6.8
2014-06,23.1,27.8,31.1,19.7,17.3
2014-07,26.1,30.6,34.4,22.9,19.1
2014-08,25.2,29,35.8,22.1,18.3
2014-09,22.1,27,31.3,18,14.9
2014-10,15.6,21.4,29,10.7,2.7
2014-11,9,13.8,22.9,4.9,-3.1
2014-12,-2.9,1.5,7.9,-6.7,-13.2
2015-01,-0.9,3.6,9,-4.8,-9.8
2015-02,1,6,13,-2.9,-13
2015-03,6.3,12.4,21.9,1,-6.9
2015-04,13.3,18.8,28.3,8.4,3.5
2015-05,18.9,24.9,32.2,13.6,8.3
2015-06,23.6,29.5,34.9,18.9,15.6
2015-07,25.8,30,36,22.6,18.2
2015-08,26.3,30.8,34.4,22.8,18.9
2015-09,22.4,28.1,31,17.5,14.2
2015-10,15.5,21.2,26.6,10.8,1.1
2015-11,8.9,12.7,19.8,5.9,-7.3
2015-12,1.6,6,12.2,-2.1,-9.5
2016-01,-3.2,1.1,9.5,-6.8,-18
2016-02,0.2,5.1,14.4,-4.1,-10
2016-03,7,12.6,21.4,2.4,-7.5
2016-04,14.1,20.3,29.6,9.1,5.1
2016-05,19.6,25.7,31.9,14.1,8.9
2016-06,23.6,28.7,32.2,19.5,17.1
2016-07,26.2,29.8,34.1,23.3,19.8
2016-08,28,32.6,36.6,24.5,16.1
2016-09,23.1,27.9,31.1,19.3,14.3
2016-10,16.1,21.3,29,11.6,0.7
2016-11,6.8,11.6,18.6,2.8,-6.2
2016-12,1.2,5.8,13.6,-2.7,-9.8
2017-01,-1.8,2.9,11.4,-5.8,-12.6
2017-02,-0.2,4.8,12.3,-4.7,-9.3
2017-03,6.3,12.3,18.9,1.7,-5.3
2017-04,13.9,20,27.8,9.1,3.1
2017-05,19.5,25.4,30.3,14.4,10
2017-06,23.3,28.8,34.1,18.7,14.5
2017-07,26.9,30.4,35.4,24.3,21.9
2017-08,25.9,29.7,35.3,22.9,16.1
2017-09,22.1,27.4,31.4,17.5,11.2
2017-10,16.4,22.5,29.4,11.6,2.5
2017-11,5.6,10.5,18.4,1.3,-6.6
2017-12,-1.9,2.2,8.7,-5.7,-12.3
2018-01,-4,0.1,8.7,-7.3,-17.8
2018-02,-1.6,3.3,10.4,-5.9,-13.4
2018-03,8.1,13.6,22.1,3.8,-6.7
2018-04,13,18.5,26.3,8.1,0.1
2018-05,18.2,23.3,29.6,13.4,6.9
2018-06,23.1,28.4,32.9,18.9,16.3
2018-07,27.8,32.1,38.3,24.2,17.7
2018-08,28.8,33.3,39.6,25.2,20.2
2018-09,21.5,26,30.9,17.6,10.8
2018-10,13.1,18.6,25.6,8.5,0.7
2018-11,7.8,13.2,19.4,3.6,-3.1
2018-12,-0.6,4.1,13.5,-4.7,-14.4
2019-01,-0.9,4.1,8.5,-5.1,-10.1
2019-02,1,6,14.5,-3.2,-10.2
2019-03,7.1,12.4,17.6,2.7,-1.7
2019-04,12.1,17.6,28.2,7.2,0.3
2019-05,19.4,25.6,33.4,13.7,8.4
2019-06,22.5,27.7,32.8,18.1,14.1
2019-07,25.9,30.1,36.1,22.7,19.3
2019-08,27.2,31.6,36.8,23.6,18.5
2019-09,22.6,27.1,30.5,19,13.6
2019-10,16.4,21.8,28.2,11.8,4.7
2019-11,7.6,12.9,22.1,3.1,-4.6
2019-12,1.4,5.3,12.9,-2.6,-10.9
2020-01,1.6,5.9,11.9,-1.7,-6.5
2020-02,2.5,7.2,15.6,-1.3,-11.8
2020-03,7.7,13.3,20.6,2.6,-2.8
2020-04,11.1,16.6,23.8,6.3,1.9
2020-05,18,23.3,30,13.7,9.2
2020-06,23.9,29,35.4,19.9,14.8
2020-07,24.1,28,32.9,21.1,17.2
2020-08,26.5,29.3,34.5,24.4,21.5
2020-09,21.4,25.6,29.5,18,13.6
2020-10,14.3,19.5,23.6,9.6,3.2
2020-11,8,12.6,20,4,-3.6
2020-12,-0.3,3.9,11.4,-4.2,-12.9
